"publishedAt","dislikeCount","url","id","commentCount","title","viewCount","likeCount"
"2015-05-27T11:23:05.000Z","611","https://www.youtube.com/watch?v=1sq4gVZ4cBc","1sq4gVZ4cBc","1105","Inside Amy Schumer - Court of Public Opinion: The Trial of Bill Cosby","2021942","7498"
"2015-05-21T21:31:50.000Z","797","https://www.youtube.com/watch?v=6eqCaiwmr_M","6eqCaiwmr_M","2584","Inside Amy Schumer - The Universe - Uncensored","2738761","33095"
"2015-05-19T19:02:08.000Z","185","https://www.youtube.com/watch?v=U68G8up1-qo","U68G8up1-qo","283","Inside Amy Schumer - Doggy Daycare","1411058","5466"
"2015-05-18T14:30:21.000Z","375","https://www.youtube.com/watch?v=e39dwHozfsc","e39dwHozfsc","413","Inside Amy Schumer - Babies & Bustiers","1820298","8563"
"2015-05-11T15:17:27.000Z","139","https://www.youtube.com/watch?v=pI_zfyJn5QU","pI_zfyJn5QU","161","Inside Amy Schumer - Beer Ad - Uncensored","774711","3396"
"2015-05-06T16:48:00.000Z","157","https://www.youtube.com/watch?v=96LgRmOF9_o","96LgRmOF9_o","448","Inside Amy Schumer - Debating the Dildo","1011041","5211"
"2015-05-05T15:03:20.000Z","35","https://www.youtube.com/watch?v=B_VQ9d7X2iI","B_VQ9d7X2iI","77","Inside Amy Schumer - 12 Angry Men Inside Amy Schumer Trailer","371622","1189"
"2015-04-29T15:16:22.000Z","1501","https://www.youtube.com/watch?v=fyeTJVU4wVo","fyeTJVU4wVo","1838","Inside Amy Schumer - Girl, You Don't Need Makeup","5280475","31758"
"2015-04-27T15:28:47.000Z","202","https://www.youtube.com/watch?v=_kiYIvwZW0g","_kiYIvwZW0g","271","Inside Amy Schumer - Amy Schumer Doll","908325","5683"
"2015-04-22T20:36:57.000Z","1143","https://www.youtube.com/watch?v=TM2RUVnTlvs","TM2RUVnTlvs","1896","Inside Amy Schumer - Football Town Nights","2884025","12433"
"2015-04-22T15:17:46.000Z","1459","https://www.youtube.com/watch?v=XPpsI8mWKmg","XPpsI8mWKmg","2333","Inside Amy Schumer - Last F**kable Day - Uncensored","5773280","28032"
"2015-04-20T18:07:08.000Z","38","https://www.youtube.com/watch?v=SIRnjMlJ8Jk","SIRnjMlJ8Jk","50","Inside Amy Schumer - New Season, Same Amy","202331","493"
"2015-04-13T17:57:49.000Z","234","https://www.youtube.com/watch?v=8uwb-nmOlic","8uwb-nmOlic","240","Inside Amy Schumer - Celebrity Spooky Stories","1004878","5915"
"2015-04-13T17:56:53.000Z","474","https://www.youtube.com/watch?v=Dgp5q9Fd0a8","Dgp5q9Fd0a8","562","Inside Amy Schumer - He's Good-Looking","1477314","5423"
"2015-04-12T23:03:07.000Z","4234","https://www.youtube.com/watch?v=HeiSx5MNDvg","HeiSx5MNDvg","3678","Inside Amy Schumer - Milk Milk Lemonade","8012180","39303"
"2015-04-08T18:48:45.000Z","111","https://www.youtube.com/watch?v=tTtdPKjdeP4","tTtdPKjdeP4","171","Inside Amy Schumer - New Body","1403797","6337"
"2015-04-08T18:48:10.000Z","39","https://www.youtube.com/watch?v=Rr1oef3cNWg","Rr1oef3cNWg","88","Inside Amy Schumer - Birthday Surprise","523324","3109"
"2015-04-08T18:47:51.000Z","346","https://www.youtube.com/watch?v=BtB_bOzTNA8","BtB_bOzTNA8","492","Inside Amy Schumer - Sex Stories","2237021","8786"
"2015-04-08T18:47:33.000Z","75","https://www.youtube.com/watch?v=rNVJ4r0WEjA","rNVJ4r0WEjA","62","Inside Amy Schumer - Psychic","440164","1605"
"2015-04-08T18:47:13.000Z","89","https://www.youtube.com/watch?v=gTFIdV9pPeU","gTFIdV9pPeU","285","Inside Amy Schumer - Judging Strippers","1296612","6321"
"2015-04-08T18:46:21.000Z","88","https://www.youtube.com/watch?v=nC7_qkbe3Bg","nC7_qkbe3Bg","182","Inside Amy Schumer - Rounds","924534","3152"
"2015-04-08T18:45:46.000Z","76","https://www.youtube.com/watch?v=kyTFGNVDAmo","kyTFGNVDAmo","124","Inside Amy Schumer - Cut to the Chase","898436","3448"
"2015-04-08T18:45:09.000Z","120","https://www.youtube.com/watch?v=36SHd0J61c0","36SHd0J61c0","184","Inside Amy Schumer - Multiple Personalities","681291","3372"
"2015-04-08T18:44:37.000Z","91","https://www.youtube.com/watch?v=8n3vo8HoUlk","8n3vo8HoUlk","62","Inside Amy Schumer - Comforsleep","673453","2436"
"2015-04-08T18:43:56.000Z","302","https://www.youtube.com/watch?v=350S5qZC3XU","350S5qZC3XU","499","Inside Amy Schumer - Wedding Objections","2016157","12151"
"2015-04-08T18:43:13.000Z","211","https://www.youtube.com/watch?v=o4gJbTkJZdE","o4gJbTkJZdE","209","Inside Amy Schumer - The S**tter","1185269","3951"
"2015-04-08T18:42:41.000Z","79","https://www.youtube.com/watch?v=RIx6NIjacX8","RIx6NIjacX8","268","Inside Amy Schumer - Serial Killer Glasses Store","1001060","4188"
"2015-04-08T18:42:11.000Z","98","https://www.youtube.com/watch?v=HSMZ5DsozWI","HSMZ5DsozWI","215","Inside Amy Schumer - Search History","985924","3151"
"2015-04-08T18:22:00.000Z","17","https://www.youtube.com/watch?v=PPP_CGZvNvs","PPP_CGZvNvs","14","Inside Amy Schumer - Sever Spine","157168","555"
"2015-04-08T18:21:38.000Z","45","https://www.youtube.com/watch?v=Hn2ewHOFgXo","Hn2ewHOFgXo","153","Inside Amy Schumer - Sleep Gym","574316","2938"
"2015-04-08T18:21:17.000Z","773","https://www.youtube.com/watch?v=LXLS5aKb-9E","LXLS5aKb-9E","298","Inside Amy Schumer - Meth Lab","845946","2674"
"2015-04-08T18:20:57.000Z","58","https://www.youtube.com/watch?v=5CZvrTocKq8","5CZvrTocKq8","122","Inside Amy Schumer - Supper and a Movie's","655762","2861"
"2015-04-08T18:19:33.000Z","108","https://www.youtube.com/watch?v=6la3B4y3ZYc","6la3B4y3ZYc","207","Inside Amy Schumer - Night Terrors","860501","4000"
"2015-04-08T18:19:09.000Z","222","https://www.youtube.com/watch?v=d-hF0eHyz6I","d-hF0eHyz6I","273","Inside Amy Schumer - Third Date","1492687","5069"
"2015-04-08T18:18:47.000Z","196","https://www.youtube.com/watch?v=atU7cxmSnW8","atU7cxmSnW8","169","Inside Amy Schumer - I Endured","730804","2904"
"2015-04-08T18:18:22.000Z","93","https://www.youtube.com/watch?v=3XjqMHLmVD0","3XjqMHLmVD0","93","Inside Amy Schumer - SandraGel","666935","3529"
"2015-04-08T18:18:06.000Z","617","https://www.youtube.com/watch?v=4u_Hyw80Yqo","4u_Hyw80Yqo","629","Inside Amy Schumer - The Nurses","1090455","4794"
"2015-04-08T18:17:40.000Z","64","https://www.youtube.com/watch?v=N5sGxcAJFCA","N5sGxcAJFCA","160","Inside Amy Schumer - Live Newscast","595240","3614"
"2015-04-08T18:17:01.000Z","80","https://www.youtube.com/watch?v=rv3Y7BiMt9E","rv3Y7BiMt9E","254","Inside Amy Schumer - Who's More Over Their Ex?","905634","6408"
"2015-04-08T18:16:29.000Z","53","https://www.youtube.com/watch?v=gQ4lhO0LBX8","gQ4lhO0LBX8","122","Inside Amy Schumer - Nutritionist","724480","3290"
"2015-04-08T18:16:10.000Z","62","https://www.youtube.com/watch?v=shpg_9bvzuE","shpg_9bvzuE","159","Inside Amy Schumer - Gym Bummers","580210","2509"
"2015-04-08T18:15:46.000Z","482","https://www.youtube.com/watch?v=39jN_CRGcbI","39jN_CRGcbI","344","Inside Amy Schumer - Allergic to Nuts","792882","3137"
"2015-04-08T15:58:42.000Z","100","https://www.youtube.com/watch?v=YEL7aeWIYV4","YEL7aeWIYV4","224","Inside Amy Schumer - Elevator Conversation","800768","3144"
"2015-04-08T15:58:22.000Z","128","https://www.youtube.com/watch?v=_rBHFRr1tmw","_rBHFRr1tmw","147","Inside Amy Schumer - Sauced","1034397","4124"
